artist_names,artist_url,artist_id,track_names,track_url,track_id,popularity
J.Sheon,{'spotify': 'https://open.spotify.com/artist/4DEItwf281SHmTnS8q3Mn9'},4DEItwf281SHmTnS8q3Mn9,輸情歌,{'spotify': 'https://open.spotify.com/track/2Ub5ZGPsej0A6YpvzhntLL'},2Ub5ZGPsej0A6YpvzhntLL,49
Ryan.B,{'spotify': 'https://open.spotify.com/artist/78EWtfjj7daNa4FrTSPQsD'},78EWtfjj7daNa4FrTSPQsD,小鹿乱撞,{'spotify': 'https://open.spotify.com/track/4Mdw361yPWmE5VY39WaIpN'},4Mdw361yPWmE5VY39WaIpN,41
Kanye West,{'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'},5K4W6rqBFWDnAN6FQUkS6x,Gold Digger,{'spotify': 'https://open.spotify.com/track/3QHPHLAkYV5cQBUYs6rowx'},3QHPHLAkYV5cQBUYs6rowx,65
J. Cole,{'spotify': 'https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5'},6l3HvQ5sa6mXTsMTB19rO5,KOD,{'spotify': 'https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI'},7yotKA30dwTKNEGomV9ZsI,68
J. Cole,{'spotify': 'https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5'},6l3HvQ5sa6mXTsMTB19rO5,p r i d e . i s . t h e . d e v i l (with Lil Baby),{'spotify': 'https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf'},5W8jRrZ6tWrTrqnKRtIQBf,78
J. Cole,{'spotify': 'https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5'},6l3HvQ5sa6mXTsMTB19rO5,1 0 0 . m i l ‘ (with Bas),{'spotify': 'https://open.spotify.com/track/4n6NDfYake476trCjJRNl0'},4n6NDfYake476trCjJRNl0,62
J. Cole,{'spotify': 'https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5'},6l3HvQ5sa6mXTsMTB19rO5,a m a r i,{'spotify': 'https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX'},2cnKST6T9qUo2i907lm8zX,74
Christoph Willibald Gluck,{'spotify': 'https://open.spotify.com/artist/7vfydQ0nVBVgJ0ajs8EtRM'},7vfydQ0nVBVgJ0ajs8EtRM,"Melodie from ""Orfeo ed Euridice"", Wq. 30 (Arr. Giovanni Sgambati)",{'spotify': 'https://open.spotify.com/track/71S0ksOIsXEqvUNNTb1RJd'},71S0ksOIsXEqvUNNTb1RJd,31
Clara Schumann,{'spotify': 'https://open.spotify.com/artist/2yzaWNFV3cxmcRZtwtr5WC'},2yzaWNFV3cxmcRZtwtr5WC,"Schumann: 12 Gedichte aus Liebesfrühling, Op. 37: No. 11: Warum willst du andre fragen",{'spotify': 'https://open.spotify.com/track/1NechTDnTtSaciAT6gmvJQ'},1NechTDnTtSaciAT6gmvJQ,58
BIBI,{'spotify': 'https://open.spotify.com/artist/6UbmqUEgjLA6jAcXwbM1Z9'},6UbmqUEgjLA6jAcXwbM1Z9,BINU,{'spotify': 'https://open.spotify.com/track/0lSJQip2wVidbu1JfZ4IEQ'},0lSJQip2wVidbu1JfZ4IEQ,54
