artist_name,artist_id,track_name,track_id,track_popularity,track_url
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,Bonfire,799f6Ih1Pu4AUApMyXhxUc,70,https://api.spotify.com/v1/tracks/799f6Ih1Pu4AUApMyXhxUc
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,Sober,5NhlpQ6BOIz3S5welptk1W,70,https://api.spotify.com/v1/tracks/5NhlpQ6BOIz3S5welptk1W
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,This Is America,0b9oOr2ZgvyQu88wzixux9,70,https://api.spotify.com/v1/tracks/0b9oOr2ZgvyQu88wzixux9
Ama Lou,2tAqnHDAgnGtjnlzyoa38L,Same Old Ways,4kgKjHMIDWri9XHjyxSbpy,57,https://api.spotify.com/v1/tracks/4kgKjHMIDWri9XHjyxSbpy
Ama Lou,2tAqnHDAgnGtjnlzyoa38L,NORTHSIDE,01HGXW27UXeMWa8Eglzgcf,56,https://api.spotify.com/v1/tracks/01HGXW27UXeMWa8Eglzgcf
Ama Lou,2tAqnHDAgnGtjnlzyoa38L,Trust Nobody,7ceXCl3ndsTFrH60P1c0io,54,https://api.spotify.com/v1/tracks/7ceXCl3ndsTFrH60P1c0io
Ama Lou,2tAqnHDAgnGtjnlzyoa38L,Tried Up,1xXk9IMrUPwqpOXXTk7sCt,47,https://api.spotify.com/v1/tracks/1xXk9IMrUPwqpOXXTk7sCt
Ama Lou,2tAqnHDAgnGtjnlzyoa38L,Talk Quiet,7sdWbnUGRzpWJmupEpXJiP,44,https://api.spotify.com/v1/tracks/7sdWbnUGRzpWJmupEpXJiP
Ama Lou,2tAqnHDAgnGtjnlzyoa38L,All I Can Say,7FSaklAKEXjV6HCoOhFDYR,44,https://api.spotify.com/v1/tracks/7FSaklAKEXjV6HCoOhFDYR
Ama Lou,2tAqnHDAgnGtjnlzyoa38L,This Town,3reHllSvAJyGwahWW4pdju,44,https://api.spotify.com/v1/tracks/3reHllSvAJyGwahWW4pdju
Ama Lou,2tAqnHDAgnGtjnlzyoa38L,Better,4W1HsvmcGtusNPyqdVOqaV,42,https://api.spotify.com/v1/tracks/4W1HsvmcGtusNPyqdVOqaV
Ama Lou,2tAqnHDAgnGtjnlzyoa38L,Wire,0jJOVtwAT6gpldYt3p6KhE,42,https://api.spotify.com/v1/tracks/0jJOVtwAT6gpldYt3p6KhE
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,86,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI
Giveon,4fxd5Ee7UefO4CUXgwJ7IP,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,83,https://api.spotify.com/v1/tracks/3FAJ6O0NOHQV8Mc5Ri6ENp
Giveon,4fxd5Ee7UefO4CUXgwJ7IP,Lost Me,6TSO4hwz9WGrEUY7ABGVim,79,https://api.spotify.com/v1/tracks/6TSO4hwz9WGrEUY7ABGVim
Giveon,4fxd5Ee7UefO4CUXgwJ7IP,Like I Want You,6qBFSepqLCuh5tehehc1bd,76,https://api.spotify.com/v1/tracks/6qBFSepqLCuh5tehehc1bd
Giveon,4fxd5Ee7UefO4CUXgwJ7IP,For Tonight,1TlTzdsEpgfsmbuNfYmWfG,72,https://api.spotify.com/v1/tracks/1TlTzdsEpgfsmbuNfYmWfG
Giveon,4fxd5Ee7UefO4CUXgwJ7IP,Scarred,5PSYn0XVImstXPFFDtajEK,71,https://api.spotify.com/v1/tracks/5PSYn0XVImstXPFFDtajEK
Giveon,4fxd5Ee7UefO4CUXgwJ7IP,Make You Mine,7r1MqPAD09w24mCUUbxiCI,71,https://api.spotify.com/v1/tracks/7r1MqPAD09w24mCUUbxiCI
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Ghost,6I3mqTwhRpn34SLVafSH7G,89,https://api.spotify.com/v1/tracks/6I3mqTwhRpn34SLVafSH7G
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Love Yourself,50kpGaPAhYJ3sGmk6vplg0,83,https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Baby,6epn3r7S14KUqlReYr77hA,81,https://api.spotify.com/v1/tracks/6epn3r7S14KUqlReYr77hA
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Sorry,09CtPGIpYB4BrO8qb1RGsF,80,https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Hold On,1nahzW3kfMuwReTka28tH5,78,https://api.spotify.com/v1/tracks/1nahzW3kfMuwReTka28tH5
Jon Batiste,0eRbECAGCLLiTyVXPBRexU,FREEDOM,2JHHXGSC6Ra3IJOBNLbhS6,39,https://api.spotify.com/v1/tracks/2JHHXGSC6Ra3IJOBNLbhS6
Jon Batiste,0eRbECAGCLLiTyVXPBRexU,"It's All Right - From ""Soul""/Soundtrack Version",1XmdReQRsXwlXs62EELp5S,45,https://api.spotify.com/v1/tracks/1XmdReQRsXwlXs62EELp5S
Jon Batiste,0eRbECAGCLLiTyVXPBRexU,I NEED YOU,0zZxNUuYI4mIjhA6OE6amf,31,https://api.spotify.com/v1/tracks/0zZxNUuYI4mIjhA6OE6amf
Jon Batiste,0eRbECAGCLLiTyVXPBRexU,Sweet - Single Edit,7uYpvX8Gb7CUubdJcRt8E0,55,https://api.spotify.com/v1/tracks/7uYpvX8Gb7CUubdJcRt8E0
Jon Batiste,0eRbECAGCLLiTyVXPBRexU,CRY,5EqHA3fTPCSLJDtUIqQySl,30,https://api.spotify.com/v1/tracks/5EqHA3fTPCSLJDtUIqQySl
Jon Batiste,0eRbECAGCLLiTyVXPBRexU,ADULTHOOD,2xsqmGbhmZwsQMboHQ9jca,29,https://api.spotify.com/v1/tracks/2xsqmGbhmZwsQMboHQ9jca
Jon Batiste,0eRbECAGCLLiTyVXPBRexU,SING,6x9CsGaWqqtaggNYelyWO5,48,https://api.spotify.com/v1/tracks/6x9CsGaWqqtaggNYelyWO5
Jon Batiste,0eRbECAGCLLiTyVXPBRexU,It's All Right,6XWBDQ4urerE3ekhoYdnT4,18,https://api.spotify.com/v1/tracks/6XWBDQ4urerE3ekhoYdnT4
PSY,2dd5mrQZvg6SmahdgVKDzh,That That (prod. & feat. SUGA of BTS),7GNRUsU3M4XNDDB9xle5Dz,80,https://api.spotify.com/v1/tracks/7GNRUsU3M4XNDDB9xle5Dz
PSY,2dd5mrQZvg6SmahdgVKDzh,Gangnam Style (강남스타일),03UrZgTINDqvnUMbbIMhql,73,https://api.spotify.com/v1/tracks/03UrZgTINDqvnUMbbIMhql
PSY,2dd5mrQZvg6SmahdgVKDzh,DADDY,1eMVXXpNPEUdFRy5ZH7FpM,62,https://api.spotify.com/v1/tracks/1eMVXXpNPEUdFRy5ZH7FpM
PSY,2dd5mrQZvg6SmahdgVKDzh,Gentleman,5JlfrE9buCY1AB18sO5IdG,40,https://api.spotify.com/v1/tracks/5JlfrE9buCY1AB18sO5IdG
PSY,2dd5mrQZvg6SmahdgVKDzh,New Face,25YgkxnU4UzEG4ORni69Rw,58,https://api.spotify.com/v1/tracks/25YgkxnU4UzEG4ORni69Rw
PSY,2dd5mrQZvg6SmahdgVKDzh,GANJI (feat. Jessi),5INgNRiLfTyTGTXt3eIr2r,52,https://api.spotify.com/v1/tracks/5INgNRiLfTyTGTXt3eIr2r
PSY,2dd5mrQZvg6SmahdgVKDzh,Celeb,3OLrkewJ2oQ1MQjUdEDfY5,50,https://api.spotify.com/v1/tracks/3OLrkewJ2oQ1MQjUdEDfY5
PSY,2dd5mrQZvg6SmahdgVKDzh,Now (feat. Hwa Sa),77agEdLYGWCAhSmwtkPlCs,50,https://api.spotify.com/v1/tracks/77agEdLYGWCAhSmwtkPlCs
PSY,2dd5mrQZvg6SmahdgVKDzh,I LUV IT,0sEWGO1ajAmgln6B4lkuKb,47,https://api.spotify.com/v1/tracks/0sEWGO1ajAmgln6B4lkuKb
